,network_name,zero_count
0,17Networks_LH_VisCent_Striate_1,1
1,17Networks_LH_VisCent_Striate_2,3
2,17Networks_LH_VisCent_Striate_3,1
3,17Networks_LH_VisCent_Striate_4,4
8,17Networks_LH_VisCent_ExStr_5,1
10,17Networks_LH_VisCent_ExStr_7,1
11,17Networks_LH_VisCent_ExStr_8,2
13,17Networks_LH_VisCent_ExStr_10,2
14,17Networks_LH_VisCent_ExStr_11,1
17,17Networks_LH_VisCent_ExStr_14,1
20,17Networks_LH_VisCent_ExStr_17,1
56,17Networks_LH_SomMotA_10,2
64,17Networks_LH_SomMotA_18,1
74,17Networks_LH_SomMotA_28,2
76,17Networks_LH_SomMotA_30,1
77,17Networks_LH_SomMotA_31,1
78,17Networks_LH_SomMotA_32,3
79,17Networks_LH_SomMotA_33,1
80,17Networks_LH_SomMotA_34,3
81,17Networks_LH_SomMotA_35,1
82,17Networks_LH_SomMotA_36,1
142,17Networks_LH_DorsAttnB_PostC_12,2
171,17Networks_LH_SalVentAttnA_FrMed_5,1
172,17Networks_LH_SalVentAttnA_FrMed_6,1
175,17Networks_LH_SalVentAttnB_PFCd_1,2
178,17Networks_LH_SalVentAttnB_PFCl_3,1
180,17Networks_LH_SalVentAttnB_Ins_2,2
185,17Networks_LH_SalVentAttnB_OFC_1,8
190,17Networks_LH_LimbicB_OFC_1,2374
191,17Networks_LH_LimbicB_OFC_2,35
192,17Networks_LH_LimbicB_OFC_3,1841
193,17Networks_LH_LimbicB_OFC_4,10
194,17Networks_LH_LimbicB_OFC_5,1053
195,17Networks_LH_LimbicB_OFC_6,49
196,17Networks_LH_LimbicB_OFC_7,20
197,17Networks_LH_LimbicB_OFC_8,82
198,17Networks_LH_LimbicB_OFC_9,7
199,17Networks_LH_LimbicA_TempPole_1,138
200,17Networks_LH_LimbicA_TempPole_2,11
201,17Networks_LH_LimbicA_TempPole_3,71
202,17Networks_LH_LimbicA_TempPole_4,6
203,17Networks_LH_LimbicA_TempPole_5,2
204,17Networks_LH_LimbicA_TempPole_6,146
205,17Networks_LH_LimbicA_TempPole_7,3
206,17Networks_LH_LimbicA_TempPole_8,18
208,17Networks_LH_LimbicA_TempPole_10,194
209,17Networks_LH_LimbicA_TempPole_11,1
237,17Networks_LH_ContB_Temp_1,3
238,17Networks_LH_ContB_Temp_2,10
239,17Networks_LH_ContB_Temp_3,1
248,17Networks_LH_ContB_PFClv_1,1
249,17Networks_LH_ContB_PFClv_2,1
266,17Networks_LH_DefaultA_PFCd_2,2
283,17Networks_LH_DefaultA_PFCm_1,2
284,17Networks_LH_DefaultA_PFCm_2,4
285,17Networks_LH_DefaultA_PFCm_3,19
286,17Networks_LH_DefaultA_PFCm_4,4
292,17Networks_LH_DefaultB_Temp_1,1
293,17Networks_LH_DefaultB_Temp_2,5
295,17Networks_LH_DefaultB_Temp_4,2
298,17Networks_LH_DefaultB_Temp_7,1
312,17Networks_LH_DefaultB_PFCd_6,3
313,17Networks_LH_DefaultB_PFCd_7,3
314,17Networks_LH_DefaultB_PFCd_8,1
315,17Networks_LH_DefaultB_PFCd_9,3
316,17Networks_LH_DefaultB_PFCd_10,4
319,17Networks_LH_DefaultB_PFCl_3,1
320,17Networks_LH_DefaultB_PFCv_1,11
321,17Networks_LH_DefaultB_PFCv_2,4
323,17Networks_LH_DefaultB_PFCv_4,7
350,17Networks_RH_VisCent_Striate_1,3
351,17Networks_RH_VisCent_Striate_2,2
352,17Networks_RH_VisCent_Striate_3,1
364,17Networks_RH_VisCent_ExStr_12,2
368,17Networks_RH_VisCent_ExStr_16,2
371,17Networks_RH_VisCent_ExStr_19,2
373,17Networks_RH_VisCent_ExStr_21,1
407,17Networks_RH_SomMotA_8,1
420,17Networks_RH_SomMotA_21,3
421,17Networks_RH_SomMotA_22,1
425,17Networks_RH_SomMotA_26,1
427,17Networks_RH_SomMotA_28,3
430,17Networks_RH_SomMotA_31,4
434,17Networks_RH_SomMotB_Cent_4,1
459,17Networks_RH_DorsAttnA_TempOcc_1,1
461,17Networks_RH_DorsAttnA_TempOcc_3,15
463,17Networks_RH_DorsAttnA_TempOcc_5,1
497,17Networks_RH_DorsAttnB_PostC_10,1
531,17Networks_RH_SalVentAttnA_FrMed_6,3
534,17Networks_RH_SalVentAttnB_PFCd_1,2
550,17Networks_RH_LimbicB_OFC_1,46
551,17Networks_RH_LimbicB_OFC_2,3110
552,17Networks_RH_LimbicB_OFC_3,1077
553,17Networks_RH_LimbicB_OFC_4,251
554,17Networks_RH_LimbicB_OFC_5,8
555,17Networks_RH_LimbicB_OFC_6,25
556,17Networks_RH_LimbicB_OFC_7,80
557,17Networks_RH_LimbicB_OFC_8,33
558,17Networks_RH_LimbicB_OFC_9,13
559,17Networks_RH_LimbicB_OFC_10,20
560,17Networks_RH_LimbicB_OFC_11,5
561,17Networks_RH_LimbicA_TempPole_1,22
562,17Networks_RH_LimbicA_TempPole_2,66
563,17Networks_RH_LimbicA_TempPole_3,4
564,17Networks_RH_LimbicA_TempPole_4,4
565,17Networks_RH_LimbicA_TempPole_5,4
566,17Networks_RH_LimbicA_TempPole_6,61
567,17Networks_RH_LimbicA_TempPole_7,24
568,17Networks_RH_LimbicA_TempPole_8,16
569,17Networks_RH_LimbicA_TempPole_9,1
570,17Networks_RH_LimbicA_TempPole_10,3
571,17Networks_RH_LimbicA_TempPole_11,8
572,17Networks_RH_LimbicA_TempPole_12,2
575,17Networks_RH_ContA_Temp_2,1
597,17Networks_RH_ContB_Temp_1,1
598,17Networks_RH_ContB_Temp_2,3
599,17Networks_RH_ContB_Temp_3,30
612,17Networks_RH_ContB_PFCld_5,2
613,17Networks_RH_ContB_PFCld_6,2
615,17Networks_RH_ContB_PFCld_8,1
616,17Networks_RH_ContB_PFClv_1,8
617,17Networks_RH_ContB_PFClv_2,3
618,17Networks_RH_ContB_PFClv_3,1
619,17Networks_RH_ContB_PFClv_4,2
620,17Networks_RH_ContB_PFClv_5,2
643,17Networks_RH_DefaultA_PFCd_1,1
645,17Networks_RH_DefaultA_PFCd_3,1
656,17Networks_RH_DefaultA_PFCm_1,11
657,17Networks_RH_DefaultA_PFCm_2,1
658,17Networks_RH_DefaultA_PFCm_3,6
662,17Networks_RH_DefaultA_PFCm_7,1
666,17Networks_RH_DefaultB_AntTemp_1,3
667,17Networks_RH_DefaultB_AntTemp_2,1
669,17Networks_RH_DefaultB_AntTemp_4,1
673,17Networks_RH_DefaultB_PFCd_4,1
674,17Networks_RH_DefaultB_PFCd_5,3
675,17Networks_RH_DefaultB_PFCv_1,6
676,17Networks_RH_DefaultB_PFCv_2,1
677,17Networks_RH_DefaultB_PFCv_3,1
693,17Networks_RH_TempPar_8,1
