eid,schaefer_exists,is_empty,contains_nan,contains_0,location_of_0
1194459,True,False,False,False,[]
1223623,True,False,False,False,[]
1147728,True,False,False,False,[]
1360915,True,False,False,False,[]
1077761,True,False,False,False,[]
1446748,True,False,False,False,[]
2409092,False,True,False,False,[]
1052745,True,False,False,False,[]
1372687,True,False,False,False,[]
1285371,True,False,True,False,[]
1376521,True,False,False,False,[]
1322080,True,False,False,False,[]
1050071,True,False,False,False,[]
1250492,True,False,False,False,[]
1128744,False,True,False,False,[]
1307130,True,False,False,False,[]
1182437,True,False,False,False,[]
1437359,True,False,True,True,[398]
1073553,False,True,False,False,[]
1109908,True,False,False,False,[]
1058462,True,False,False,False,[]
1151746,True,False,False,False,[]
1246932,True,False,False,False,[]
1370027,True,False,True,True,[398]
1136339,True,False,False,False,[]
1320620,False,True,False,False,[]
1006370,True,False,False,False,[]
1317996,True,False,False,False,[]
1330348,True,False,False,False,[]
1388267,True,False,False,False,[]
1004433,True,False,False,False,[]
1334099,True,False,False,False,[]
2583723,False,True,False,False,[]
1440239,True,False,False,False,[]
1202442,True,False,False,False,[]
1398778,True,False,False,False,[]
1124112,True,False,False,False,[]
1194874,True,False,False,False,[]
1180374,True,False,False,False,[]
1425172,True,False,False,False,[]
1218399,True,False,False,False,[]
1454939,True,False,False,False,[]
1406450,True,False,True,False,[]
1143937,True,False,False,False,[]
1285306,True,False,False,False,[]
1050006,True,False,False,False,[]
1435840,True,False,False,False,[]
1596817,False,True,False,False,[]
1056494,True,False,False,False,[]
1006293,True,False,False,False,[]
1166913,True,False,False,True,"[138, 142, 398, 401]"
1190788,True,False,False,False,[]
1202818,True,False,False,False,[]
1311129,True,False,False,False,[]
1008368,True,False,False,False,[]
1703558,False,True,False,False,[]
2354960,False,True,False,False,[]
1145085,True,False,False,False,[]
1155823,True,False,False,False,[]
1039582,False,True,False,False,[]
1231928,True,False,False,True,[398]
1046112,True,False,False,False,[]
1442477,True,False,False,False,[]
1136234,True,False,False,False,[]
1229409,True,False,False,False,[]
1338656,True,False,False,False,[]
1065430,False,True,False,False,[]
1113384,False,True,False,False,[]
1115716,False,True,False,False,[]
1378539,True,False,False,False,[]
1600895,False,True,False,False,[]
1353408,True,False,False,False,[]
1042320,False,True,False,False,[]
1227946,True,False,False,False,[]
1216262,True,False,False,False,[]
1012527,True,False,False,False,[]
1134494,True,False,False,False,[]
1297020,True,False,False,False,[]
1052648,True,False,False,False,[]
1404269,True,False,False,False,[]
1378880,False,True,False,False,[]
1040463,False,True,False,False,[]
1198302,True,False,False,False,[]
2310584,False,True,False,False,[]
1442594,True,False,False,False,[]
2232791,False,True,False,False,[]
2632152,False,True,False,False,[]
1388289,True,False,False,False,[]
1069266,True,False,False,False,[]
1248507,True,False,False,False,[]
1190685,True,False,False,False,[]
1233231,True,False,False,False,[]
1410969,False,True,False,False,[]
1418120,True,False,False,False,[]
1147652,True,False,False,False,[]
1250826,True,False,False,False,[]
1376995,True,False,False,False,[]
1412207,True,False,False,False,[]
1279279,True,False,False,False,[]
1014056,True,False,False,False,[]
1319437,True,False,False,False,[]
1095214,True,False,False,False,[]
1000698,True,False,False,False,[]
1452168,True,False,False,False,[]
1293265,True,False,False,False,[]
1269711,True,False,False,False,[]
1440334,True,False,False,False,[]
1359758,True,False,False,False,[]
1248493,True,False,False,False,[]
1033746,True,False,False,False,[]
1435517,True,False,False,False,[]
1218294,True,False,False,False,[]
1454834,True,False,False,False,[]
1231491,True,False,False,False,[]
1192025,True,False,False,False,[]
1109872,True,False,False,False,[]
1122943,True,False,False,False,[]
1396760,False,True,False,False,[]
1869171,False,True,False,False,[]
1284414,True,False,False,False,[]
1436866,True,False,False,False,[]
2317709,False,True,False,False,[]
1068479,True,False,False,False,[]
1276929,True,False,False,False,[]
1003627,True,False,False,False,[]
1300353,True,False,False,False,[]
1076004,True,False,False,False,[]
1387583,True,False,False,False,[]
1102084,True,False,False,False,[]
1409257,True,False,False,False,[]
1106322,True,False,False,False,[]
1127134,False,True,False,False,[]
1308740,True,False,False,False,[]
1323671,True,False,False,False,[]
1232874,True,False,False,False,[]
1391823,True,False,False,False,[]
1727314,False,True,False,False,[]
1028682,True,False,False,False,[]
1321145,True,False,False,False,[]
1100624,True,False,False,False,[]
1354766,True,False,False,False,[]
1112478,True,False,False,False,[]
1070502,True,False,False,False,[]
1224440,True,False,False,False,[]
1019068,True,False,False,False,[]
1651919,False,True,False,False,[]
1387460,True,False,False,False,[]
1102167,True,False,False,False,[]
1344279,True,False,False,False,[]
1183325,True,False,False,False,[]
1068854,True,False,False,False,[]
1086620,True,False,False,False,[]
1055551,True,False,False,False,[]
1323606,False,True,False,False,[]
1389575,True,False,False,False,[]
1232459,True,False,False,False,[]
1348802,True,False,False,False,[]
1114109,True,False,False,False,[]
1220605,True,False,False,False,[]
1339049,True,False,False,False,[]
1034428,True,False,False,False,[]
1259607,True,False,False,False,[]
1207115,True,False,False,False,[]
1407335,True,False,False,False,[]
1453694,False,True,False,False,[]
1189002,True,False,False,False,[]
1377233,True,False,False,False,[]
1457532,True,False,False,False,[]
1333214,True,False,False,False,[]
1318325,True,False,False,False,[]
1420905,True,False,False,False,[]
1292577,True,False,False,False,[]
1361327,True,False,False,False,[]
1434205,False,True,False,False,[]
1395746,True,False,False,False,[]
1230383,True,False,False,False,[]
3290777,False,True,False,False,[]
1268197,True,False,False,False,[]
1415013,False,True,False,False,[]
1340131,True,False,False,False,[]
1156428,True,False,False,True,[138]
1102189,True,False,False,False,[]
1253800,True,False,False,False,[]
1116747,True,False,False,False,[]
1369734,True,False,False,False,[]
1312002,True,False,False,False,[]
1339144,False,True,False,False,[]
1795066,False,True,False,False,[]
1197572,True,False,False,False,[]
1158884,True,False,False,False,[]
2136112,False,True,False,False,[]
2966858,False,True,False,False,[]
1220708,True,False,False,False,[]
1017193,False,True,False,False,[]
1043432,True,False,False,False,[]
1047794,True,False,False,False,[]
2093819,False,True,False,False,[]
1247377,True,False,False,False,[]
1181946,True,False,False,False,[]
2174887,False,True,False,False,[]
1278488,True,False,False,False,[]
1121548,True,False,False,False,[]
1417750,True,False,False,False,[]
1173821,False,True,False,False,[]
1327963,True,False,False,False,[]
2093443,False,True,False,False,[]
1746283,False,True,False,False,[]
1082945,True,False,False,False,[]
1177649,True,False,False,False,[]
1137526,True,False,False,False,[]
1437769,True,False,False,False,[]
1384076,True,False,False,False,[]
1065099,True,False,False,False,[]
1103245,False,True,False,False,[]
1658272,False,True,False,False,[]
4876703,False,True,False,False,[]
2197369,False,True,False,False,[]
1176466,True,False,False,False,[]
4354376,False,True,False,False,[]
1056147,True,False,False,False,[]
1087502,False,True,False,False,[]
1136709,True,False,False,False,[]
1229134,True,False,False,False,[]
1444982,True,False,False,False,[]
1147318,True,False,False,False,[]
1077351,True,False,False,False,[]
1225681,True,False,False,False,[]
1014488,False,True,False,False,[]
1370583,True,False,False,False,[]
1109115,True,False,False,False,[]
1000231,True,False,False,False,[]
1031915,True,False,False,False,[]
1126382,True,False,False,False,[]
1285736,True,False,False,False,[]
1281490,True,False,False,False,[]
1273463,True,False,False,False,[]
1258552,True,False,False,False,[]
1048883,True,False,False,False,[]
1370460,True,False,True,False,[]
1283230,True,False,False,False,[]
1200746,True,False,False,False,[]
1309462,True,False,False,False,[]
1250141,True,False,False,False,[]
2154507,False,True,False,False,[]
1091941,True,False,False,False,[]
1233698,True,False,False,False,[]
1157793,False,True,False,False,[]
1107194,True,False,False,False,[]
1192518,True,False,False,False,[]
1384001,True,False,False,False,[]
1115326,False,True,False,False,[]
1037133,True,False,False,False,[]
2167437,False,True,False,False,[]
1029880,True,False,False,False,[]
1231142,True,False,False,False,[]
1117412,False,True,False,False,[]
1343550,True,False,False,False,[]
1050882,True,False,False,False,[]
1010623,True,False,False,False,[]
1052278,False,True,False,False,[]
1042710,True,False,False,False,[]
1444541,True,False,False,False,[]
1160505,False,True,False,False,[]
1002825,False,True,False,False,[]
1111114,True,False,False,False,[]
1416828,True,False,False,True,[149]
1237444,True,False,False,False,[]
1008758,True,False,False,False,[]
1184598,False,True,False,False,[]
1317165,True,False,False,False,[]
1425438,True,False,False,False,[]
1240553,True,False,False,False,[]
1221870,True,False,False,False,[]
1917705,False,True,False,False,[]
1410174,True,False,False,False,[]
2470439,False,True,False,False,[]
1012083,True,False,False,False,[]
1376188,True,False,False,False,[]
1239526,True,False,False,False,[]
1269321,True,False,False,False,[]
1134147,True,False,False,False,[]
1440704,True,False,False,False,[]
1359368,True,False,False,False,[]
1212417,False,True,False,False,[]
1446396,False,True,False,False,[]
